pp,trial,voice_id,condition,scene_id,1,2,3,4,5,6,7,8,9,ans_sd,SoPA,SoNA,Accept,SoA,Authorship
P04,2,clone,counter,6,2.0,2.0,4.0,1.0,3.0,3.0,1.0,2.0,1.0,1.6690459207925603,1.8,5.0,1.0,2.142857142857143,1.0
P04,3,clone,repeat,8,3.0,3.0,5.0,1.0,5.0,2.0,1.0,2.0,3.0,1.5811388300841898,2.4,4.0,3.0,2.857142857142857,1.0
P04,4,clone,enhance,10,5.0,3.0,4.0,2.0,4.0,3.0,3.0,1.0,5.0,1.407885953173359,3.0,4.5,5.0,3.142857142857143,2.0
P04,5,clone,counter,12,3.0,3.0,5.0,1.0,4.0,1.0,1.0,2.0,7.0,1.5118578920369088,2.2,4.0,7.0,2.7142857142857144,1.0
P04,6,clone,repeat,2,1.0,1.0,2.0,1.0,3.0,5.0,1.0,1.0,1.0,2.5319388392523003,1.4,6.5,1.0,1.4285714285714286,1.0
P04,7,robotic,repeat,3,5.0,2.0,4.0,1.0,5.0,3.0,3.0,1.0,1.0,1.8516401995451028,3.0,5.0,1.0,3.0,1.0
P04,8,robotic,counter,5,1.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,2.6423744732991303,1.2,7.0,1.0,1.1428571428571428,1.0
P04,9,robotic,enhance,7,6.0,3.0,6.0,3.0,5.0,5.0,3.0,4.0,5.0,1.3562026818605375,4.2,3.5,5.0,4.285714285714286,3.0
P04,10,robotic,repeat,9,6.0,2.0,6.0,3.0,5.0,5.0,4.0,5.0,6.0,1.4142135623730951,4.6,4.0,6.0,4.428571428571429,3.0
P04,11,robotic,counter,11,6.0,4.0,6.0,4.0,5.0,5.0,5.0,5.0,6.0,1.1952286093343936,5.0,3.0,6.0,5.0,4.0
P05,1,clone,counter,5,2.0,5.0,1.0,2.0,1.0,7.0,1.0,2.0,5.0,2.4748737341529163,1.6,5.0,5.0,2.0,2.0
P05,2,clone,repeat,7,4.0,6.0,5.0,5.0,5.0,5.0,6.0,6.0,8.0,1.4142135623730951,5.2,2.5,8.0,5.285714285714286,5.0
P05,3,clone,enhance,9,4.0,5.0,6.0,4.0,5.0,2.0,6.0,3.0,4.0,1.407885953173359,4.4,2.5,4.0,4.714285714285714,4.0
P05,4,clone,counter,11,1.0,2.0,2.0,1.0,1.0,7.0,1.0,1.0,1.0,2.7774602993176543,1.0,6.0,1.0,1.2857142857142858,1.0
P05,5,clone,repeat,1,6.0,6.0,6.0,6.0,6.0,2.0,6.0,6.0,8.0,2.0701966780270626,6.0,2.0,8.0,6.0,6.0
P05,6,clone,enhance,3,3.0,2.0,3.0,2.0,5.0,5.0,3.0,3.0,7.0,1.4142135623730951,3.2,5.5,7.0,3.0,2.0
P05,7,robotic,enhance,6,4.0,4.0,5.0,4.0,5.0,4.0,5.0,3.0,9.0,0.7559289460184544,4.2,3.5,9.0,4.285714285714286,4.0
P05,8,robotic,repeat,8,7.0,7.0,7.0,7.0,7.0,1.0,7.0,7.0,10.0,3.1052950170405937,7.0,1.0,10.0,7.0,7.0
P05,9,robotic,counter,10,1.0,2.0,2.0,2.0,2.0,6.0,2.0,1.0,2.0,2.3145502494313788,1.6,6.0,2.0,1.7142857142857142,2.0
P05,10,robotic,enhance,12,6.0,6.0,6.0,6.0,6.0,2.0,6.0,6.0,10.0,2.0701966780270626,6.0,2.0,10.0,6.0,6.0
P05,11,robotic,repeat,2,7.0,7.0,7.0,7.0,7.0,1.0,7.0,7.0,10.0,3.1052950170405937,7.0,1.0,10.0,7.0,7.0
