trial,index,question_text,answer_index,answer_text,pp,SUS
12,14,14. The virtual world seemed more realistic than the real world,1,,P10,1.0
12,15,15. The movements of the virtual body felt like they were my movements.,4,,P10,4.0
12,16,16. I felt like I was controlling the movements of the virtual body.,5,,P10,5.0
12,1,1. In the computer generated world I had a sense of being there,5,,P11,5.0
12,2,2. Somehow I felt that the virtual world surrounded me,2,,P11,2.0
12,3,3. I felt like I was just perceiving pictures,1,,P11,1.0
12,4,4. I did not feel present in the virtual space,7,,P11,7.0
12,5,5. I had a sense of acting in the virtual space rather than operating something from outside,2,,P11,2.0
12,6,6. I felt present in the virtual space,7,,P11,7.0
12,7,7. How aware were you of the real world surrounding while navigating in the virtual world? (i.e. sounds / room temperature / other people / etc.),7,,P11,7.0
12,8,8. I was not aware of my real environment,7,,P11,7.0
12,9,9. I still paid attention to the real environment,2,,P11,2.0
12,10,10. I was completely captivated by the virtual world,7,,P11,7.0
12,11,11. How real did the virtual world seem to you?,2,,P11,2.0
12,12,12. How much did your experience in the virtual environment seem consistent with your real world experience?,3,,P11,3.0
12,13,13. How real did the virtual world seem to you?,4,,P11,4.0
12,14,14. The virtual world seemed more realistic than the real world,3,,P11,3.0
12,15,15. The movements of the virtual body felt like they were my movements.,4,,P11,4.0
12,16,16. I felt like I was controlling the movements of the virtual body.,2,,P11,2.0
12,1,1. In the computer generated world I had a sense of being there,4,,P11,4.0
12,2,2. Somehow I felt that the virtual world surrounded me,4,,P11,4.0
12,3,3. I felt like I was just perceiving pictures,4,,P11,4.0
12,4,4. I did not feel present in the virtual space,3,,P11,3.0
12,5,5. I had a sense of acting in the virtual space rather than operating something from outside,5,,P11,5.0
12,6,6. I felt present in the virtual space,5,,P11,5.0
12,7,7. How aware were you of the real world surrounding while navigating in the virtual world? (i.e. sounds / room temperature / other people / etc.),4,,P11,4.0
12,8,8. I was not aware of my real environment,4,,P11,4.0
12,9,9. I still paid attention to the real environment,3,,P11,3.0
12,10,10. I was completely captivated by the virtual world,4,,P11,4.0
12,11,11. How real did the virtual world seem to you?,5,,P11,5.0
12,12,12. How much did your experience in the virtual environment seem consistent with your real world experience?,5,,P11,5.0
12,13,13. How real did the virtual world seem to you?,5,,P11,5.0
12,14,14. The virtual world seemed more realistic than the real world,4,,P11,4.0
12,15,15. The movements of the virtual body felt like they were my movements.,4,,P11,4.0
12,16,16. I felt like I was controlling the movements of the virtual body.,4,,P11,4.0
12,1,1. In the computer generated world I had a sense of being there,6,,P29,6.0
12,2,2. Somehow I felt that the virtual world surrounded me,6,,P29,6.0
12,3,3. I felt like I was just perceiving pictures,2,,P29,2.0
12,4,4. I did not feel present in the virtual space,6,,P29,6.0
12,5,5. I had a sense of acting in the virtual space rather than operating something from outside,6,,P29,6.0
12,6,6. I felt present in the virtual space,6,,P29,6.0
12,7,7. How aware were you of the real world surrounding while navigating in the virtual world? (i.e. sounds / room temperature / other people / etc.),6,,P29,6.0
12,8,8. I was not aware of my real environment,5,,P29,5.0
12,9,9. I still paid attention to the real environment,2,,P29,2.0
12,10,10. I was completely captivated by the virtual world,5,,P29,5.0
12,11,11. How real did the virtual world seem to you?,5,,P29,5.0
12,12,12. How much did your experience in the virtual environment seem consistent with your real world experience?,3,,P29,3.0
12,13,13. How real did the virtual world seem to you?,2,,P29,2.0
12,14,14. The virtual world seemed more realistic than the real world,1,,P29,1.0
12,15,15. The movements of the virtual body felt like they were my movements.,2,,P29,2.0
12,16,16. I felt like I was controlling the movements of the virtual body.,5,,P29,5.0
12,1,1. In the computer generated world I had a sense of being there,5,,P16,5.0
12,2,2. Somehow I felt that the virtual world surrounded me,4,,P16,4.0
12,3,3. I felt like I was just perceiving pictures,2,,P16,2.0
12,4,4. I did not feel present in the virtual space,3,,P16,3.0
12,5,5. I had a sense of acting in the virtual space rather than operating something from outside,2,,P16,2.0
12,6,6. I felt present in the virtual space,3,,P16,3.0
12,7,7. How aware were you of the real world surrounding while navigating in the virtual world? (i.e. sounds / room temperature / other people / etc.),5,,P16,5.0
12,8,8. I was not aware of my real environment,2,,P16,2.0
12,9,9. I still paid attention to the real environment,5,,P16,5.0
12,10,10. I was completely captivated by the virtual world,2,,P16,2.0
12,11,11. How real did the virtual world seem to you?,4,,P16,4.0
12,12,12. How much did your experience in the virtual environment seem consistent with your real world experience?,3,,P16,3.0
12,13,13. How real did the virtual world seem to you?,3,,P16,3.0
12,14,14. The virtual world seemed more realistic than the real world,1,,P16,1.0
12,15,15. The movements of the virtual body felt like they were my movements.,3,,P16,3.0
12,16,16. I felt like I was controlling the movements of the virtual body.,5,,P16,5.0
12,1,1. In the computer generated world I had a sense of being there,2,,P18,2.0
12,2,2. Somehow I felt that the virtual world surrounded me,2,,P18,2.0
12,3,3. I felt like I was just perceiving pictures,3,,P18,3.0
12,4,4. I did not feel present in the virtual space,6,,P18,6.0
12,5,5. I had a sense of acting in the virtual space rather than operating something from outside,3,,P18,3.0
12,6,6. I felt present in the virtual space,5,,P18,5.0
12,7,7. How aware were you of the real world surrounding while navigating in the virtual world? (i.e. sounds / room temperature / other people / etc.),6,,P18,6.0
12,8,8. I was not aware of my real environment,2,,P18,2.0
12,9,9. I still paid attention to the real environment,5,,P18,5.0
12,10,10. I was completely captivated by the virtual world,5,,P18,5.0
12,11,11. How real did the virtual world seem to you?,3,,P18,3.0
12,12,12. How much did your experience in the virtual environment seem consistent with your real world experience?,3,,P18,3.0
12,13,13. How real did the virtual world seem to you?,3,,P18,3.0
12,14,14. The virtual world seemed more realistic than the real world,1,,P18,1.0
12,15,15. The movements of the virtual body felt like they were my movements.,5,,P18,5.0
12,16,16. I felt like I was controlling the movements of the virtual body.,5,,P18,5.0
12,1,1. In the computer generated world I had a sense of being there,5,,P27,5.0
12,2,2. Somehow I felt that the virtual world surrounded me,2,,P27,2.0
12,3,3. I felt like I was just perceiving pictures,1,,P27,1.0
12,4,4. I did not feel present in the virtual space,7,,P27,7.0
12,5,5. I had a sense of acting in the virtual space rather than operating something from outside,2,,P27,2.0
12,6,6. I felt present in the virtual space,7,,P27,7.0
12,7,7. How aware were you of the real world surrounding while navigating in the virtual world? (i.e. sounds / room temperature / other people / etc.),7,,P27,7.0
